name RNA_exp_rep1.1 RNA_exp_rep1.2 RNA_exp_rep2 RNA_exp_rep3 RNA_exp_average DNA_sum num_barcodes num_barcodes_integrated
gourse_136fold_up_34G->T_ECK125137405_12T->G/7T->C_bg1163421:1163571 0.250508572761924 0.274405819525232 0.192740195823379 0.146795259688472 0.200664217218476 89.3933874675245 32 29
noUP_35T->C/33G->C/31C->G_lac-spacer-17bp_12T->G/11A->T/7T->A_bg463205:463355 0.140331191223115 0.17721519793427 0.123088305799632 0.113720173590713 0.131860557989679 127.95556118661 42 35
gourse_136fold_up_35T->A/33G->T_ECK125136938_9A->G/8A->T_bg991964:992114 0.153889343236671 0.205421493406982 0.257836343691611 0.16792470688189 0.201805489631776 59.2473562122959 23 21
gourse_136fold_up_35T->C/33G->C/31C->G_ECK125137108_9A->G/8A->T_bg463205:463355 0.181799966694988 0.152548729756327 0.100207286577967 0.0975960073874999 0.121659214063708 114.32956182739 33 29
noUP_34G->T_ECK125137726_12T->G/11A->T/9A->G/8A->T/7T->A_bg4427287:4427437 0.177057150048497 0.196271141968608 0.155953119249485 0.154838240590764 0.165818501949601 179.191100617244 49 44
noUP_consensus35_P1-6-17bp_9A->G/8A->T_bg4471352:4471502 4.0335798209589 5.3304400692656 5.35930786826272 4.60953848123997 4.88361876487165 129.823492517276 46 39
noUP_32A->C/31C->A_ECK125137726_7T->A_bg463205:463355 1.76761385911971 1.47784752231672 2.03608193730356 2.00122598015152 1.88667953605777 158.279433556893 54 50
noUP_34G->T_ECK125137108_12T->G/7T->C_bg4427287:4427437 0.175995242483664 0.146767330998251 0.12693481535587 0.0934794967780799 0.127265199624969 107.551777236605 41 37
gourse_136fold_up_32A->C/31C->A_ECK125136938_7T->A_bg463205:463355 8.70557279133528 7.96320142844616 9.57389709040037 12.4640844320079 10.124122877433 185.942307155727 67 64
gourse_136fold_up_35T->C/33G->T/31G->C_ECK125137108_consensus10_bg4427287:4427437 0.194259285540381 0.243541414462977 0.223895460353733 0.1699078975828 0.204234569312737 246.055813473457 72 66
gourse_326fold_up_35T->A/33G->T_ECK125137104_12T->G_bg463205:463355 0.176433890277171 0.143665299919859 0.140922122833101 0.141380629715139 0.147450782548918 118.547821475843 38 33
gourse_136fold_up_consensus35_P1-6-17bp_12T->G/11A->T/7T->A_bg463205:463355 0.349748507356071 0.263838042396948 0.241485746286777 0.355111126144734 0.301130049102674 56.514909776124 25 22
gourse_136fold_up_32A->C/31C->A_ECK125137726_12T->G_bg4427287:4427437 4.57515259622671 2.86787669604907 3.40809614716289 3.29555942709177 3.47505674013085 76.6068176062143 34 32
gourse_136fold_up_34G->T/30A->C_ECK125137104_12T->G/11A->T/9A->G/8A->T/7T->A_bg3514590:3514740 0.172640087835459 0.181614156748241 0.103663432540627 0.116412054776207 0.132400869869561 112.769331443279 47 43
gourse_136fold_up_35T->C/33G->T/31G->C_ECK125137104_9A->G/8A->T_bg463205:463355 0.169681805000427 0.191773371478989 0.154997151396744 0.134252982711258 0.15665924078257 123.702881146457 40 37
noUP_33G->A/31C->G_ECK125136938_12T->G/11A->T/7T->A_bg463205:463355 0.288356482128676 0.282559360318992 0.120126051313793 0.187923241928777 0.197835738155468 35.3398895106897 19 18
gourse_136fold_up_consensus35_lac-spacer-17bp_12T->A_bg977040:977190 2.4749152851044 1.46313195334261 1.10010173308421 2.25010738880858 1.7730775803721 11.1263864016448 7 5
gourse_326fold_up_33G->A/31C->G_ECK125137104_12T->G_bg463205:463355 0.221507387992179 0.165270090755598 0.239915803491769 0.159736678324563 0.197680407063407 92.5773947203638 35 34
gourse_326fold_up_32A->C/31C->A_ECK125137726_9A->G/8A->T_bg1163421:1163571 4.82135706443317 3.95108784177468 5.16840248184844 7.89516484126984 5.81659659207407 56.8820193114733 21 18
gourse_326fold_up_34G->T_ECK125137640_12T->G_bg463205:463355 6.24442602367668 5.97463370927729 6.53039113894667 7.24007156764284 6.62666419102217 44.8886482157574 14 13
gourse_326fold_up_34G->T/30A->C_ECK125137108_12T->G/7T->C_bg4427287:4427437 0.17125162318753 0.182337719125724 0.130926476216117 0.121970190017511 0.143230445796752 151.800243175189 54 50
gourse_136fold_up_35T->C/33G->C/31C->G_ECK125137640_12T->G/11A->T/9A->G/8A->T/7T->A_bg4427287:4427437 0.180070312445108 0.16931841472644 0.170015722385741 0.138668291495184 0.161126125822233 122.88050449528 39 37
gourse_136fold_up_35T->A/33G->T_P1-6-17bp_12T->A_bg463205:463355 0.715881436520311 0.653955007246806 0.892535368351338 0.804267092080797 0.793906894105231 194.763601270714 42 40
noUP_35T->C/33G->T/31G->C_ECK125137726_12T->A_bg3514590:3514740 0.528447048887901 0.443940958897976 0.408213850641309 0.289635369481189 0.394681074671812 74.4424581366021 24 23
gourse_326fold_up_34G->T/30A->C_ECK125136938_12T->G_bg991964:992114 0.280101618445338 0.196769373658833 0.139449515461378 0.146848145268391 0.174911052260618 96.8374930810291 28 26
gourse_326fold_up_35T->C/33G->C/31C->G_lac-spacer-17bp_12T->A_bg1163421:1163571 0.179525164680111 0.209311965393043 0.180257633372834 0.189006743470241 0.187894313959884 103.586817532377 41 37
noUP_35T->A/33G->T_ECK125137726_12T->G/11A->T/9A->G/8A->T/7T->A_bg991964:992114 0.138338659096215 0.149735530646079 0.150234157381544 0.0958949876508986 0.130055413301196 57.8019148020866 17 17
gourse_136fold_up_34G->T_ECK125137640_12T->G_bg1163421:1163571 1.15340749081004 1.21748992268326 1.15830817398813 1.00992273801367 1.11789320624948 133.149682058324 39 36
gourse_136fold_up_35T->A/33G->T_ECK125136938_7T->A_bg4427287:4427437 0.142405744037488 0.233327366661584 0.175102697999562 0.156554142630072 0.17317446532639 66.3352152067227 17 16
gourse_136fold_up_33G->A/31C->G_ECK125137640_12T->G/7T->C_bg3514590:3514740 0.275360164428399 0.325946815043764 0.181218308744491 0.171122952101172 0.217664916860582 115.92670605001 49 43
noUP_34G->T/30A->C_P1-6-17bp_12T->A_bg463205:463355 0.529921980842532 0.54942097839804 0.869435240663325 0.74489856478823 0.718001761690614 51.5204628758893 19 18
